aws_ec2_transit_gateway_route_table_propagation AWS::EC2::TransitGatewayRouteTablePropagation
aws_ec2_transit_gateway_vpc_attachment AWS::EC2::TransitGatewayVpcAttachment
aws_ecr_pull_through_cache_rule AWS::ECR::PullThroughCacheRule
aws_ecr_registry_policy AWS::ECR::RegistryPolicy
aws_ecr_registry_scanning_configuration AWS::ECR::RegistryScanningConfiguration
aws_ecr_replication_configuration AWS::ECR::ReplicationConfiguration
aws_ecr_repository AWS::ECR::Repository
aws_ecr_repository_creation_template AWS::ECR::RepositoryCreationTemplate
aws_ecrpublic_repository AWS::ECR::PublicRepository
aws_ecs_capacity_provider AWS::ECS::CapacityProvider
aws_ecs_cluster AWS::ECS::Cluster
aws_ecs_service AWS::ECS::Service
aws_ecs_task_definition AWS::ECS::TaskDefinition
aws_ecs_task_set AWS::ECS::TaskSet
aws_efs_access_point AWS::EFS::AccessPoint
aws_efs_file_system AWS::EFS::FileSystem
aws_efs_mount_target AWS::EFS::MountTarget
aws_eks_access_entry AWS::EKS::AccessEntry
aws_eks_addon AWS::EKS::Addon
aws_eks_cluster AWS::EKS::Cluster
aws_eks_fargate_profile AWS::EKS::FargateProfile
aws_eks_identity_provider_config AWS::EKS::IdentityProviderConfig
aws_eks_node_group AWS::EKS::Nodegroup
aws_eks_pod_identity_association AWS::EKS::PodIdentityAssociation
aws_elastic_beanstalk_application AWS::ElasticBeanstalk::Application
aws_elastic_beanstalk_application_version AWS::ElasticBeanstalk::ApplicationVersion
aws_elastic_beanstalk_configuration_template AWS::ElasticBeanstalk::ConfigurationTemplate
aws_elastic_beanstalk_environment AWS::ElasticBeanstalk::Environment
aws_elasticache_global_replication_group AWS::ElastiCache::GlobalReplicationGroup
aws_elasticache_parameter_group AWS::ElastiCache::ParameterGroup
aws_elasticache_replication_group AWS::ElastiCache::ReplicationGroup
aws_elasticache_serverless_cache AWS::ElastiCache::ServerlessCache
aws_elasticache_subnet_group AWS::ElastiCache::SubnetGroup
aws_elasticache_user AWS::ElastiCache::User
aws_elasticache_user_group AWS::ElastiCache::UserGroup
aws_elasticsearch_domain AWS::Elasticsearch::Domain
aws_emr_cluster AWS::EMR::Cluster
aws_emr_security_configuration AWS::EMR::SecurityConfiguration
aws_emr_studio AWS::EMR::Studio
aws_emr_studio_session_mapping AWS::EMR::StudioSessionMapping
aws_emrcontainers_virtual_cluster AWS::EMRContainers::VirtualCluster
aws_emrserverless_application AWS::EMRServerless::Application
aws_evidently_feature AWS::Evidently::Feature
aws_evidently_launch AWS::Evidently::Launch
aws_evidently_project AWS::Evidently::Project
aws_evidently_segment AWS::Evidently::Segment
aws_fis_experiment_template AWS::FIS::ExperimentTemplate
aws_fms_policy AWS::FMS::Policy
aws_fms_resource_set AWS::FMS::ResourceSet
aws_fsx_data_repository_association AWS::FSx::DataRepositoryAssociation
aws_gamelift_alias AWS::GameLift::Alias
aws_gamelift_build AWS::GameLift::Build
aws_gamelift_fleet AWS::GameLift::Fleet
aws_gamelift_game_server_group AWS::GameLift::GameServerGroup
aws_gamelift_game_session_queue AWS::GameLift::GameSessionQueue
aws_gamelift_script AWS::GameLift::Script
aws_globalaccelerator_accelerator AWS::GlobalAccelerator::Accelerator
aws_globalaccelerator_cross_account_attachment AWS::GlobalAccelerator::CrossAccountAttachment
aws_globalaccelerator_endpoint_group AWS::GlobalAccelerator::EndpointGroup
aws_globalaccelerator_listener AWS::GlobalAccelerator::Listener
aws_glue_classifier AWS::Glue::Classifier
aws_glue_connection AWS::Glue::Connection
aws_glue_crawler AWS::Glue::Crawler
aws_glue_data_catalog_encryption_settings AWS::Glue::DataCatalogEncryptionSettings
aws_glue_data_quality_ruleset AWS::Glue::DataQualityRuleset
aws_glue_dev_endpoint AWS::Glue::DevEndpoint
aws_glue_job AWS::Glue::Job
aws_glue_ml_transform AWS::Glue::MLTransform
aws_glue_partition AWS::Glue::Partition
aws_glue_registry AWS::Glue::Registry
aws_glue_schema AWS::Glue::Schema
aws_glue_security_configuration AWS::Glue::SecurityConfiguration
aws_glue_trigger AWS::Glue::Trigger
aws_glue_workflow AWS::Glue::Workflow
aws_grafana_workspace AWS::Grafana::Workspace
aws_guardduty_detector AWS::GuardDuty::Detector
aws_guardduty_filter AWS::GuardDuty::Filter
aws_guardduty_ipset AWS::GuardDuty::IPSet
aws_guardduty_malware_protection_plan AWS::GuardDuty::MalwareProtectionPlan
